개체1,액션1,감정1,URL
공포,놀라,놀람,https://jjalbang.today/files/jjalbox/2018/01/20180101_5a49ca34d8046.jpg
"식은땀, 공포",놀라,놀람,https://jjalbang.today/files/jjalbox/2018/01/20180118_5a600b53d55fc.gif
"장윤정, 혐오",,혐오,https://jjalbang.today/files/jjalbox/2016/03/20160322_56f0f11774af2.gif
"아이유, 화남",빡침,분노,https://jjalbang.today/files/jjalbox/2018/03/20180331_5abf316d439bb.gif
혐오,,혐오,https://jjalbang.today/files/jjalbox/2015/03/85_55169cd28f031_1001.jpg
"탈락, 혐오",,혐오,https://jjalbang.today/files/jjalbox/2016/08/20160817_57b4685c1b569.jpg
"박미선, 혐오",,혐오,https://jjalbang.today/files/jjalbox/2016/08/20160830_57c52c0e0627a.jpg
"노홍철, 무한도전, 혐오",,혐오,https://jjalbang.today/files/jjalbox/2018/01/20180109_5a5465a14bca1.jpg
몬스터주식회사,,,https://jjalbang.today/files/jjalbox/2020/11/20201116_5fb23c80a40d8.png
"중립, 기어",,,https://jjalbang.today/files/jjalbox/2021/06/20210605_60bb4d95d7853.png
"김정은,박수",,,https://jjalbang.today/files/jjalbox/2016/11/20161111_58248f5bbdfba.gif
아이유,"웃, 빵터짐",행복,https://jjalbang.today/files/jjalbox/2015/06/20150629_559093c55bf53.jpg
개판,,,https://jjalbang.today/files/jjalbox/2016/08/20160820_57b8204d025fc.jpg
"마동석,진실의방",,,https://jjalbang.today/files/jjalbox/2017/12/20171212_5a2eafc1915f0.jpg
마동석,말리지마,,https://jjalbang.today/files/jjalbox/2017/12/20171212_5a2eafc1915f0.jpg
유재석,지치,,https://jjalbang.today/files/jjalbox/2021/12/20211227_61c95eebefcb0.gif
"마동석,슬리퍼,싸다구",,분노,https://jjalbang.today/files/jjalbox/2020/09/20200915_5f60ababe5098.gif
"야구,낙시",깜놀,,https://jjalbang.today/files/jjalbox/2021/12/20211227_61c961bb05b9c.gif
"권총, 오징어게임",,,https://jjalbang.today/files/jjalbox/2021/10/20211005_615befadb8b8a.gif
,웃어?,,https://jjalbang.today/files/jjalbox/2021/12/20211226_61c81f8fc0894.gif
"김동현,혼인신고",,,https://jjalbang.today/files/jjalbox/2021/10/20211020_616f853c3e135.jpg
"가즈아,최민식",,,https://jjalbang.today/files/jjalbox/2017/12/20171218_5a376dc1949cb.jpg
,열받,분노,https://jjalbang.today/files/jjalbox/2015/03/92_55169f027c6b8_1872.jpg
"김사랑, 여자",예쁜,,https://jjalbang.today/files/jjalbox/2017/12/20171220_5a3a78f10b504.gif
여자,"덥,더워",,https://jjalbang.today/files/jjalbox/2017/12/20171217_5a363765aa512.gif
"쓰레기, 봉투",,,https://jjalbang.today/files/jjalbox/2015/04/20150407_5523744a67cf8.png
"쓰레기, 심슨",,,https://jjalbang.today/files/jjalbox/2016/08/20160821_57b94bb87320c.jpg
"깐부, 오징어게임, 오일남",,,https://jjalbang.today/files/jjalbox/2021/11/20211103_61822c561331b.jpg
